Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Larry Hogan,Republican,"26,470","41,902","12,826","1,134",82332,54.22%
Angela Alsobrooks,Democratic,"18,379","23,117","22,171","1,258",64925,42.75%
Mike Scott,Libertarian,"1,185","2,369",558,70,4182,2.75%
Other Write-Ins,,163,190,67,3,423,0.28%
Patrick J. Burke (Write In),Other Candidates,0,0,0,0,0,0.00%
Billy Bridges (Write In),Unaffiliated,0,0,0,0,0,0.00%
Irwin William Gibbs (Write In),Unaffiliated,0,0,0,0,0,0.00%
Christy Renee Helmondollar (Write In),Unaffiliated,0,0,0,0,0,0.00%
Robin Rowe (Write In),Unaffiliated,0,0,0,0,0,0.00%
Totals,,"46,197","67,578","35,622","2,465","151,862",100.00%
